VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB0J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,104823078,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
WA1AAAGE9M,Kitsap,Port Orchard,WA,98367,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,0,35,156660507,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EA2J,Yakima,Yakima,WA,98902,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,269374108,POINT (-120.530331 46.59534),PACIFICORP,53077000500
5YJ3E1EA4N,Yakima,Yakima,WA,98902,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,213383894,POINT (-120.530331 46.59534),PACIFICORP,53077001202
7SAYGAEE2P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,229496046,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
WBY1Z4C51E,Yakima,Yakima,WA,98908,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,14,8045817,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5YJSA1DPXC,Thurston,Olympia,WA,98502,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,22,188634442,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010600
5YJSA1H27F,Yakima,Yakima,WA,98908,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,14,109175566,POINT (-120.611068 46.596645),PACIFICORP,53077002900
7FCTGBAA7P,Kitsap,Poulsbo,WA,98370,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,262803131,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090400
3C3CFFGE7H,King,Seattle,WA,98103,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,43,9411349,POINT (-122.3499053 47.673887),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004600
1FMCU0LZ4M,Kitsap,Silverdale,WA,98383,2021,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,23,260383966,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091302
5YJSA1H14E,Snohomish,Snohomish,WA,98296,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,225773271,POINT (-122.121841 47.841036),PUGET SOUND ENERGY INC,53061052112
5YJYGDEEXL,Snohomish,Everett,WA,98208,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,44,121781950,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041610
1G1RD6E42C,Yakima,Yakima,WA,98901,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,14,222080204,POINT (-120.4688751 46.6046178),PACIFICORP,53077000100
1FADP5CU9G,Thurston,Olympia,WA,98502,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,201044532,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010520
1N4AZ1CP3J,Island,Coupeville,WA,98239,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,10,290902181,POINT (-122.6591616 48.1982108),PUGET SOUND ENERGY INC,53029971000
